year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
1975,3,1,Nineveh,Mosul,36.34,43.13,Hijacking,Airports & Aircraft,Iraq,Unknown,Unknown,NA,0,0,0,1,0,1
1976,12,15,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Airports & Aircraft,Iraq,Unknown,Explosives/Bombs/Dynamite,Dynamite/TNT,10,NA,NA,285,NA,NA
1976,12,24,Baghdad,Baghdad,33.3,44.4,Assassination,Violent Political Party,West Bank and Gaza Strip,Unknown,Firearms,Automatic Weapon,2,NA,NA,0,NA,NA
1979,6,15,Basra,Basra,30.5,47.816667,Assassination,Government (General),Iraq,Unknown,Unknown,NA,1,NA,NA,0,NA,NA
1980,1,28,Baghdad,Baghdad,33.3,44.4,Hijacking,Airports & Aircraft,Multinational,Shia Muslim extremists,Melee,Knife or Other Sharp Object,0,NA,NA,0,NA,NA
1980,3,27,Kirkuk,Kirkuk,35.46883,44.39098,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1980,4,1,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Iraq,Iraqi Mujahideen,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,NA,1,7,NA,NA
1980,6,19,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (Diplomatic),Great Britain,Unknown,Firearms,Unknown Gun Type,3,NA,3,NA,NA,NA
1980,7,0,Baghdad,Baghdad,33.3,44.4,Assassination,Government (General),Iraq,Al-Da'wah Party,Explosives/Bombs/Dynamite,Grenade,2,NA,NA,1,NA,NA
1980,11,1,Baghdad,Baghdad,33.3,44.4,Assassination,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Grenade,0,NA,NA,1,NA,NA
1981,1,0,Sulaymaniyah,Unknown,35.500143,45.30573,Hostage Taking (Kidnapping),Private Citizens & Property,Great Britain,Unified Kurdish Socialist Party,Unknown,NA,NA,NA,NA,NA,NA,NA
1981,5,13,Kirkuk,Kirkuk,35.46883,44.39098,Hostage Taking (Kidnapping),Business,Germany,Patriotic Union of Kurdistan (PUK),Unknown,NA,NA,NA,NA,NA,NA,NA
1981,6,6,Kirkuk,Kirkuk,35.46883,44.39098,Hostage Taking (Kidnapping),Business,Germany,Kurds,Unknown,NA,NA,NA,NA,NA,NA,NA
1982,1,9,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Military,Iraq,Iraqi extremists,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,NA,NA
1982,6,14,Nineveh,Mosul,36.34,43.13,Hostage Taking (Kidnapping),Private Citizens & Property,Germany,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
