year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,nperps,nperpcap,weaptype1,weapsubtype1,nkill,nwound,nkillter,nwoundte
1974,8,14,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Government (Diplomatic),United States,Arab Communist Organization,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,2,NA,NA
1974,9,14,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Government (Diplomatic),United States,Arab Communist Organization,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,6,NA,NA
1974,10,10,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Business,United States,Arab Communist Organization,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,1,NA,NA
1974,10,11,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Business,United States,Arab Communist Organization,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1975,1,3,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Government (Diplomatic),Jordan,Popular Front for the Liberation of Palestine (PFLP),NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1975,1,3,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Government (Diplomatic),Egypt,Popular Front for the Liberation of Palestine (PFLP),NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1976,9,26,Aleppo,Aleppo,36.212989,37.142588,Hostage Taking (Barricade Incident),Business,Syria,Abu Nidal Organization (ANO),4,NA,Firearms,Automatic Weapon,5,34,NA,NA
1976,12,1,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (Diplomatic),Syria,Abu Nidal Organization (ANO),NA,NA,Firearms,Automatic Weapon,0,1,NA,NA
1977,6,18,Aleppo,Aleppo,36.212989,37.142588,Assassination,Military,Syria,Unknown,NA,NA,Firearms,Automatic Weapon,1,0,NA,NA
1977,7,4,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Military,Syria,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1977,7,10,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Government (General),Syria,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1978,10,3,Daraa,Jenin,32.980668,36.269916,Armed Assault,Transportation,Syria,Unknown,NA,NA,Incendiary,NA,NA,NA,NA,NA
1979,3,0,Aleppo,Aleppo,36.212989,37.142588,Armed Assault,Police,Syria,Unknown,NA,NA,Firearms,Automatic Weapon,NA,NA,NA,NA
1979,6,0,Hamah,Hamah,35.136363,36.752194,Assassination,Military,Syria,Unknown,NA,NA,Firearms,Handgun,3,0,NA,NA
1979,6,0,Aleppo,Aleppo,36.212989,37.142588,Assassination,Military,Syria,Unknown,NA,NA,Unknown,NA,1,0,NA,NA
