year,month,day,provstate,city,latitude,longitude,primary_attacktype,secondary_attacktype,tertiary_attacktype,primary_target,secondary_target,tertiary_target,target_nationality,primary_group,secondary_group,tertiary_group,nperps,nperpcap,weaptype1,weapsubtype1,weaptype2,weapsubtype2,weaptype3,weapsubtype3,nkill,nwound,nkillter,nwoundte
1974,8,14,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,NA,NA,Government (Diplomatic),NA,NA,United States,Arab Communist Organization,NA,NA,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,0,2,NA,NA
1974,9,14,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,NA,NA,Government (Diplomatic),NA,NA,United States,Arab Communist Organization,NA,NA,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,0,6,NA,NA
1974,10,10,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,NA,NA,Business,NA,NA,United States,Arab Communist Organization,NA,NA,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,1,1,NA,NA
1974,10,11,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,NA,NA,Business,NA,NA,United States,Arab Communist Organization,NA,NA,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,0,0,NA,NA
1975,1,3,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,NA,NA,Government (Diplomatic),NA,NA,Jordan,Popular Front for the Liberation of Palestine (PFLP),NA,NA,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,0,0,NA,NA
1975,1,3,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,NA,NA,Government (Diplomatic),NA,NA,Egypt,Popular Front for the Liberation of Palestine (PFLP),NA,NA,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,0,0,NA,NA
1976,9,26,Aleppo,Aleppo,36.212989,37.142588,Hostage Taking (Barricade Incident),NA,NA,Business,NA,NA,Syria,Abu Nidal Organization (ANO),NA,NA,4,NA,Firearms,Automatic Weapon,NA,NA,NA,NA,5,34,NA,NA
1976,12,1,Aleppo,Aleppo,36.212989,37.142588,Assassination,NA,NA,Government (Diplomatic),NA,NA,Syria,Abu Nidal Organization (ANO),NA,NA,NA,NA,Firearms,Automatic Weapon,NA,NA,NA,NA,0,1,NA,NA
1977,6,18,Aleppo,Aleppo,36.212989,37.142588,Assassination,NA,NA,Military,NA,NA,Syria,Unknown,NA,NA,NA,NA,Firearms,Automatic Weapon,NA,NA,NA,NA,1,0,NA,NA
1977,7,4,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Unknown,NA,NA,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,NA,NA,NA,NA
1977,7,10,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,NA,NA,Government (General),NA,NA,Syria,Unknown,NA,NA,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,0,0,NA,NA
1978,10,3,Daraa,Jenin,32.980668,36.269916,Armed Assault,NA,NA,Transportation,NA,NA,Syria,Unknown,NA,NA,NA,NA,Incendiary,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,3,0,Aleppo,Aleppo,36.212989,37.142588,Armed Assault,NA,NA,Police,NA,NA,Syria,Unknown,NA,NA,NA,NA,Firearms,Automatic Weapon,NA,NA,NA,NA,NA,NA,NA,NA
1979,6,0,Hamah,Hamah,35.136363,36.752194,Assassination,NA,NA,Military,NA,NA,Syria,Unknown,NA,NA,NA,NA,Firearms,Handgun,NA,NA,NA,NA,3,0,NA,NA
1979,6,0,Aleppo,Aleppo,36.212989,37.142588,Assassination,NA,NA,Military,NA,NA,Syria,Unknown,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,1,0,NA,NA
1979,6,0,Aleppo,Aleppo,36.212989,37.142588,Assassination,NA,NA,Government (General),NA,NA,Syria,Unknown,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,1,0,NA,NA
1979,6,16,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Muslim Brotherhood,NA,NA,14,NA,Firearms,Automatic Weapon,Explosives/Bombs/Dynamite,Grenade,NA,NA,54,NA,NA,NA
1979,6,24,Rif Dimashq,Zabandani,33.724854,36.097551,Assassination,NA,NA,Military,NA,NA,Syria,Unknown,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,1,0,NA,NA
